Linn County|Kansas|9502
Logan County|Kansas|2794
Lyon County|Kansas|33212
McPherson County|Kansas|29241
Marion County|Kansas|12208
Marshall County|Kansas|10006
Meade County|Kansas|4357
Miami County|Kansas|32822
Mitchell County|Kansas|6284
Montgomery County|Kansas|34065
Morris County|Kansas|5698
Morton County|Kansas|3110
Nemaha County|Kansas|10148
Neosho County|Kansas|16416
Ness County|Kansas|3105
Norton County|Kansas|5560
Osage County|Kansas|15936
Osborne County|Kansas|3756
Ottawa County|Kansas|6065
Pawnee County|Kansas|6916
Phillips County|Kansas|5533
Pottawatomie County|Kansas|22897
Pratt County|Kansas|9850
Rawlins County|Kansas|2584
Reno County|Kansas|63794
Republic County|Kansas|4803
Rice County|Kansas|10015
Riley County|Kansas|75194
Rooks County|Kansas|5155
Rush County|Kansas|3197
Russell County|Kansas|6956
Saline County|Kansas|55755
Scott County|Kansas|5080
Sedgwick County|Kansas|508803
Seward County|Kansas|23465
Shawnee County|Kansas|178406
Sheridan County|Kansas|2539
Sherman County|Kansas|6110
Smith County|Kansas|3769
Stafford County|Kansas|4297
Stanton County|Kansas|2111
Stevens County|Kansas|5801
Sumner County|Kansas|23528
Thomas County|Kansas|7891
Trego County|Kansas|2902
Wabaunsee County|Kansas|7022
Wallace County|Kansas|1506
Washington County|Kansas|5598
Wichita County|Kansas|2176
Wilson County|Kansas|9028
Woodson County|Kansas|3157
Wyandotte County|Kansas|161636
Adair County|Kentucky|19204
Allen County|Kentucky|20384
Anderson County|Kentucky|21888
